"Longitude","Latitude"
-89.891839,18.3640315
-89.63749,18.50008
-89.7563788,18.0460864
-89.6347046,18.2580451
-89.8338318,18.1415887
-89.5496316,18.6170264
-89.8893187,18.45022
-89.5330811,18.8335154
-89.94524,18.5563079
-89.196,18.437
-89.7659919,18.1479042
-89.30656,18.40199
-89.4907236,18.4086194
-89.4137281,18.595826
-89.3636084,18.8506552
-89.8469592,18.3008914
-89.306597,18.45209
-89.7787843,18.3194673
-89.894469,18.535365
-89.935027,18.47384
-89.3848944,18.033668
-89.3645047,17.9672613
-89.3328902,18.5042572
-89.2478875,18.0344817
-89.721066,18.524445
-89.2901742,18.8142339
-89.401564,18.509211
-89.4856403,18.5091923
-90.4540529,20.6991536
-90.2287173,19.5967618
-90.382846,17.8271625
-90.2638389,17.8576965
-90.2878278,17.9147167
-91.7338657,18.3538127
-91.3068366,18.388172
-91.1854275,18.3713693
-90.7409562,19.1574408
-90.6558502,18.7844404
-90.2051783,18.6412029
-89.745591,19.456429
-89.7718181,19.410275
-92.6788245,15.3790212
-92.9095423,16.6243081
-92.8754811,15.1770674
-92.8092357,15.1166661
-92.7299414,15.7283344
-90.6670354,16.4666922
-93.332814,16.861288
-92.1651928,14.9883906
-92.1480761,15.0459152
-92.131056,17.754842
-92.0487879,17.7000158
-92.0425987,17.7896119
-93.0113195,16.6861138
-93.0347539,16.7427388
-92.477229,15.3457356
-92.7102341,15.0230537
-92.86801,16.714127
-93.0101667,15.7735833
-93.0646276,15.7838291
-92.8903869,15.771455
-92.9482989,15.8633917
-93.04568,15.8470983
-92.9212501,15.8252789
-92.9574603,15.7388467
-91.7836111,16.1277778
-91.6772042,16.103411
-91.725229,16.1195506
-91.566159,16.13587
-91.3549545,16.1572766
-92.9937744,15.3303796
-91.2787161,16.1857481
-90.8129883,16.2779603
-90.6943274,16.318028
-90.8614591,16.1378612
-90.9019196,16.208689
-90.8597533,16.2554685
-92.305932,15.240043
-90.9142685,16.6036229
-91.2625449,16.8371695
-90.9823322,16.8560518
-91.0509539,16.7028753
-90.940876,16.111792
-91.1047182,16.8000889
-90.7253551,16.4269251
-91.0502243,16.8087586
-90.917055,16.279844
-91.627264,17.1215151
-90.9674215,16.7061174
-90.8754885,16.309299
-90.967091,16.899682
-90.7953607,16.4160643
-90.7088498,16.6108612
-90.8754024,16.5411902
-90.9136453,16.7188016
-91.0012613,16.0983077
-91.602244,16.948079
-90.9291424,16.7918338
-90.8177291,16.7964208
-90.8374668,16.6457059
-93.4243428,16.9805859
-93.8078731,17.041932
-93.615736,16.917041
-93.4720016,16.929925
-93.4750654,16.8078513
-93.6584473,16.9719529
-93.4234006,16.5117606
-93.3337434,17.399069
-93.3859151,17.4190321
-93.1143451,16.9180802
-92.0405,17.48718
-91.990198,17.479514
-91.970564,17.546882
-92.066518,17.573032
-92.077737,17.517876
-92.125875,17.519329
-91.4941179,17.392268
-91.488327,17.1778833
-93.1292152,17.4944834
-93.1676674,15.5922851
